NULL,Ashland University,Private,4 Year,OH
NULL,Ashworth College,For Profit,2 Year,GA
NULL,Asnuntuck Community College,Public,2 Year,CT
NULL,Assumption College,Private,4 Year,MA
NULL,Assumption College for Sisters,Private,2 Year,NJ
NULL,Athens State University,Public,4 Year,AL
NULL,Athens Technical College,Public,2 Year,GA
NULL,Atlanta Metropolitan State College,Public,2 Year,GA
NULL,Atlanta Technical College,Public,2 Year,GA
NULL,Atlantic Cape Community College,Public,2 Year,NJ
NULL,Atlantic University College,Private,4 Year,PR
NULL,Auburn University,Public,4 Year,AL
NULL,Auburn University at Montgomery,Public,4 Year,AL
NULL,Augsburg University,Private,4 Year,MN
NULL,Augusta Technical College,Public,2 Year,GA
NULL,Augusta University,Public,4 Year,GA
NULL,Augustana College,Private,4 Year,IL
NULL,Augustana University,Private,4 Year,SD
NULL,Aultman College of Nursing and Health Sciences,Private,2 Year,OH
NULL,Aurora University,Private,4 Year,IL
NULL,Austin College,Private,4 Year,TX
NULL,Austin Community College,Public,2 Year,TX
NULL,Austin Graduate School of Theology,Private,4 Year,TX
NULL,Austin Peay State University,Public,4 Year,TN
NULL,Ave Maria University,Private,4 Year,FL
NULL,Averett University,Private,4 Year,VA
NULL,Avila University,Private,4 Year,MO
NULL,Azusa Pacific University,Private,4 Year,CA
NULL,Babson College,Private,4 Year,MA
NULL,Baker University,Private,4 Year,KS
NULL,Bakersfield College,Public,2 Year,CA
NULL,Baldwin Wallace University,Private,4 Year,OH
NULL,Ball State University,Public,4 Year,IN
NULL,Baltimore City Community College,Public,2 Year,MD
NULL,Baptist Bible College,Private,4 Year,MO
NULL,Baptist College of Florida,Private,4 Year,FL
NULL,Baptist College of Health Sciences,Private,4 Year,TN
NULL,Baptist Missionary Association Theological Seminary,Private,4 Year,TX
NULL,Baptist University of the Americas,Private,4 Year,TX
NULL,Barclay College,Private,4 Year,KS
NULL,Bard College,Private,4 Year,NY
NULL,Bard College at Simon's Rock,Private,4 Year,MA
NULL,Barnard College,Private,4 Year,NY
NULL,Barry University,Private,4 Year,FL
NULL,Barstow Community College,Public,2 Year,CA
NULL,Barton College,Private,4 Year,NC
NULL,Barton County Community College,Public,2 Year,KS
NULL,Bastyr University,Private,4 Year,WA
NULL,Bates College,Private,4 Year,ME
NULL,Bates Technical College,Public,2 Year,WA
NULL,Baton Rouge Community College,Public,2 Year,LA
NULL,Bay College,Public,2 Year,MI
NULL,Bay Mills Community College,Public,2 Year,MI
NULL,Bay Path University,Private,4 Year,MA
NULL,Bay State College,For Profit,2 Year,MA
NULL,Bayamon Central University,Private,4 Year,PR
NULL,Baylor University,Private,4 Year,TX
NULL,Beacon College,Private,4 Year,FL
NULL,Beaufort County Community College,Public,2 Year,NC
NULL,Becker College,Private,4 Year,MA
NULL,Beckfield College,For Profit,4 Year,KY
NULL,Beis Medrash Heichal Dovid,Private,4 Year,NY
NULL,Belhaven University,Private,4 Year,MS
NULL,Bellarmine University,Private,4 Year,KY
NULL,Bellevue College,Public,2 Year,WA
NULL,Bellevue University,Private,4 Year,NE
NULL,Bellin College,Private,4 Year,WI
NULL,Bellingham Technical College,Public,2 Year,WA
NULL,Belmont Abbey College,Private,4 Year,NC
NULL,Belmont College,Public,2 Year,OH
NULL,Belmont University,Private,4 Year,TN
NULL,Beloit College,Private,4 Year,WI
NULL,Bemidji State University,Public,4 Year,MN
NULL,Benedict College,Private,4 Year,SC
NULL,Benedictine College,Private,4 Year,KS
NULL,Benedictine University,Private,4 Year,IL
NULL,Benjamin Franklin Institute of Technology,Private,2 Year,MA
NULL,Bennett College for Women,Private,4 Year,NC
NULL,Bennington College,Private,4 Year,VT
NULL,Bentley University,Private,4 Year,MA
NULL,Berea College,Private,4 Year,KY
